symbol,atomic_number,boil,density,electron_affinity,electronegativity,element,group,heat,ionization_energy_1,ionization_energy_10,ionization_energy_11,ionization_energy_12,ionization_energy_13,ionization_energy_14,ionization_energy_15,ionization_energy_16,ionization_energy_17,ionization_energy_18,ionization_energy_19,ionization_energy_2,ionization_energy_20,ionization_energy_21,ionization_energy_22,ionization_energy_23,ionization_energy_24,ionization_energy_25,ionization_energy_26,ionization_energy_27,ionization_energy_28,ionization_energy_29,ionization_energy_3,ionization_energy_30,ionization_energy_4,ionization_energy_5,ionization_energy_6,ionization_energy_7,ionization_energy_8,ionization_energy_9,melt,name,period,radius_calc,radius_emp,radius_vdw,radius_covalent,radius_covalent_trip
Pd,46,3236.0,12.02,0.56214,2.2,Palladium,10.0,0.244,804.4,,,,,,,,,,,1870.0,,,,,,,,,,,3177.0,,,,,,,,1828.05,palladium,5.0,169.0,140.0,163.0,131.0,112.0
Ag,47,2435.0,10.501,1.30447,1.93,Silver,11.0,0.235,731.0,,,,,,,,,,,2070.0,,,,,,,,,,,3361.0,,,,,,,,1234.93,silver,5.0,165.0,160.0,172.0,153.0,137.0
Cd,48,1040.0,8.69,,1.69,Cadmium,12.0,0.232,867.8,,,,,,,,,,,1631.4,,,,,,,,,,,3616.0,,,,,,,,594.22,cadmium,5.0,161.0,155.0,158.0,148.0,
In,49,2345.0,7.31,0.38392,1.78,Indium,13.0,0.233,558.3,,,,,,,,,,,1820.7,,,,,,,,,,,2704.0,,5210.0,,,,,,429.75,indium,5.0,156.0,155.0,193.0,144.0,146.0
Sn,50,2875.0,7.287,1.11207,1.96,Tin,14.0,0.228,708.6,,,,,,,,,,,1411.8,,,,,,,,,,,2943.0,,3930.3,7456.0,,,,,505.08,tin,5.0,145.0,145.0,217.0,141.0,132.0
Sb,51,1860.0,6.685,1.047401,2.05,Antimony,15.0,0.207,834.0,,,,,,,,,,,1594.9,,,,,,,,,,,2440.0,,4260.0,5400.0,10400.0,,,,903.78,antimony,5.0,133.0,145.0,206.0,138.0,127.0
Te,52,1261.0,6.232,1.970876,2.1,Tellurium,16.0,0.202,869.3,,,,,,,,,,,1790.0,,,,,,,,,,,2698.0,,3610.0,5668.0,6820.0,13200.0,,,722.66,tellurium,5.0,123.0,140.0,206.0,135.0,121.0
I,53,457.4,4.93,3.0590463,2.66,Iodine,17.0,0.214,1008.4,,,,,,,,,,,1845.9,,,,,,,,,,,3180.0,,,,,,,,386.85,iodine,5.0,115.0,140.0,198.0,133.0,125.0
Xe,54,165.03,0.005887,-0.056,2.6,Xenon,18.0,0.158,1170.4,,,,,,,,,,,2046.4,,,,,,,,,,,3099.4,,,,,,,,161.4,xenon,5.0,108.0,108.0,216.0,130.0,122.0
Cs,55,944.0,1.873,0.47163,0.79,Caesium,1.0,0.242,375.7,,,,,,,,,,,2234.3,,,,,,,,,,,3400.0,,,,,,,,301.59,caesium,6.0,298.0,260.0,343.0,225.0,
